step,elapsed_s,gt_label,attack_episode_id,dqn_action,nominated_ip,target_ip,skip_reason,is_sentinel_skip,is_accepted,attacker_gt_ip,correct_target
0,2.0,0,0,0,none,none,not_nominated,0,0,none,0
1,5.8,0,0,0,none,none,not_nominated,0,0,none,0
2,9.9,0,0,0,none,none,not_nominated,0,0,none,0
3,14.0,0,0,0,none,none,not_nominated,0,0,none,0
4,18.0,0,0,0,none,none,not_nominated,0,0,none,0
5,22.1,0,0,0,none,none,not_nominated,0,0,none,0
6,26.1,0,0,0,none,none,not_nominated,0,0,none,0
7,30.2,0,0,0,none,none,not_nominated,0,0,none,0
8,34.3,0,0,0,none,none,not_nominated,0,0,none,0
9,38.3,0,0,0,none,none,not_nominated,0,0,none,0
10,42.4,0,0,0,none,none,not_nominated,0,0,none,0
11,46.5,0,0,0,none,none,not_nominated,0,0,none,0
12,50.5,0,0,0,none,none,not_nominated,0,0,none,0
13,54.6,0,0,0,none,none,not_nominated,0,0,none,0
14,58.7,0,0,0,none,none,not_nominated,0,0,none,0
15,62.7,0,0,0,none,none,not_nominated,0,0,none,0
16,66.8,0,0,0,none,none,not_nominated,0,0,none,0
17,70.8,0,0,0,none,none,not_nominated,0,0,none,0
18,74.9,0,0,0,none,none,not_nominated,0,0,none,0
19,79.0,0,0,0,none,none,not_nominated,0,0,none,0
20,83.1,0,0,0,none,none,not_nominated,0,0,none,0
21,87.1,1,1,3,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
22,91.2,1,1,2,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
23,95.3,1,1,2,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
24,99.3,1,1,2,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
25,103.4,1,1,2,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
26,107.5,1,1,2,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
27,111.9,1,1,2,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
28,117.9,1,1,2,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
29,121.2,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
30,127.2,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
31,132.9,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
32,137.2,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
33,142.5,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
34,146.1,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
35,151.9,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
36,156.0,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
37,161.5,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
38,165.9,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
39,170.1,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
40,175.6,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
41,179.8,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
42,183.1,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
43,187.2,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
44,191.2,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,10.10.0.102,1
45,195.3,1,1,1,10.10.0.102,10.10.0.102,accepted,0,1,none,0
46,199.4,0,0,1,10.10.0.102,10.10.0.102,accepted,0,1,none,0
47,203.4,0,0,0,none,none,not_nominated,0,0,none,0
48,207.5,0,0,0,none,none,not_nominated,0,0,none,0
49,211.5,0,0,0,none,none,not_nominated,0,0,none,0
50,215.6,0,0,0,none,none,not_nominated,0,0,none,0
51,219.7,0,0,0,none,none,not_nominated,0,0,none,0
52,223.7,0,0,0,none,none,not_nominated,0,0,none,0
53,227.8,0,0,0,none,none,not_nominated,0,0,none,0
54,231.8,0,0,0,none,none,not_nominated,0,0,none,0
55,235.9,0,0,0,none,none,not_nominated,0,0,none,0
56,240.0,0,0,0,none,none,not_nominated,0,0,none,0
57,244.0,0,0,0,none,none,not_nominated,0,0,none,0
58,248.1,0,0,0,none,none,not_nominated,0,0,none,0
59,252.2,0,0,0,none,none,not_nominated,0,0,none,0
60,256.2,0,0,0,none,none,not_nominated,0,0,none,0
61,260.3,0,0,3,10.10.0.2,10.10.0.2,accepted,0,1,none,0
62,264.4,1,2,2,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
63,268.4,1,2,2,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
64,272.8,1,2,2,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
65,277.1,1,2,2,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
66,280.6,1,2,2,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
67,284.9,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
68,289.0,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
69,293.0,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
70,297.4,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
71,301.4,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
72,306.0,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
73,309.7,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
74,313.1,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
75,316.6,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
76,320.9,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
77,324.9,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
78,329.2,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
79,333.2,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
80,336.8,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
81,341.2,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
82,345.2,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
83,349.8,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
84,354.1,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
85,358.0,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
86,361.4,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
87,364.9,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
88,369.0,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,10.10.0.4,0
89,373.0,1,2,1,10.10.0.2,10.10.0.2,accepted,0,1,none,0
90,377.1,0,0,1,10.10.0.2,10.10.0.2,accepted,0,1,none,0
91,381.2,0,0,1,10.10.0.2,10.10.0.2,accepted,0,1,none,0
92,385.2,0,0,1,10.10.0.2,10.10.0.2,accepted,0,1,none,0
93,389.3,0,0,0,none,none,not_nominated,0,0,none,0
94,393.4,0,0,0,none,none,not_nominated,0,0,none,0
95,397.4,0,0,0,none,none,not_nominated,0,0,none,0
96,401.5,0,0,0,none,none,not_nominated,0,0,none,0
97,405.5,0,0,0,none,none,not_nominated,0,0,none,0
98,409.6,0,0,0,none,none,not_nominated,0,0,none,0
99,413.7,0,0,0,none,none,not_nominated,0,0,none,0
100,417.7,0,0,0,none,none,not_nominated,0,0,none,0
101,421.8,0,0,0,none,none,not_nominated,0,0,none,0
102,425.8,0,0,0,none,none,not_nominated,0,0,none,0
103,429.9,0,0,0,none,none,not_nominated,0,0,none,0
104,434.5,1,3,2,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
105,438.4,1,3,2,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
106,442.2,1,3,2,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
107,445.8,1,3,2,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
108,449.5,1,3,2,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
109,453.7,1,3,2,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
110,457.8,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
111,461.9,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
112,465.9,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
113,471.9,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
114,475.5,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
115,480.9,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
116,484.5,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
117,488.5,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
118,492.9,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
119,498.9,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
120,503.2,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
121,507.2,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
122,511.6,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
123,515.1,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
124,518.3,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
125,521.6,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,10.10.0.2,0
126,525.6,1,3,1,10.10.0.4,10.10.0.4,accepted,0,1,none,0
127,529.7,0,0,0,none,none,not_nominated,0,0,none,0
128,533.8,0,0,0,none,none,not_nominated,0,0,none,0
129,537.8,0,0,0,none,none,not_nominated,0,0,none,0
130,541.9,0,0,0,none,none,not_nominated,0,0,none,0
131,546.0,0,0,0,none,none,not_nominated,0,0,none,0
132,550.0,0,0,0,none,none,not_nominated,0,0,none,0
133,554.1,0,0,0,none,none,not_nominated,0,0,none,0
134,558.1,0,0,0,none,none,not_nominated,0,0,none,0
135,562.2,0,0,0,none,none,not_nominated,0,0,none,0
136,566.3,0,0,0,none,none,not_nominated,0,0,none,0
137,570.3,0,0,0,none,none,not_nominated,0,0,none,0
138,574.4,0,0,0,none,none,not_nominated,0,0,none,0
139,578.5,0,0,0,none,none,not_nominated,0,0,none,0
140,582.5,0,0,0,none,none,not_nominated,0,0,none,0
141,586.6,0,0,0,none,none,not_nominated,0,0,none,0
142,590.7,0,0,0,none,none,not_nominated,0,0,none,0
143,594.7,0,0,0,none,none,not_nominated,0,0,none,0
144,598.8,0,0,0,none,none,not_nominated,0,0,none,0
